label,run_name,car_3d_mod,ped_3d_mod,cyc_3d_mod,mean_3d_mod,delta_car,delta_ped,delta_cyc,delta_mean,total_exported,feature_enhance_applied,feature_enhance_skipped,feature_points_adjusted,elapsed_sec
adaptive(base),eval_frontend_ab_200_adaptive,48.655956097560974,26.078702439024394,42.128092682926834,38.954250406504066,0.0,0.0,0.0,0.0,6614,0,0,0,148.07
enhance_mr0.35,eval_frontend_ab_200_adaptive_enhance,48.96474634146341,25.86803414634146,42.41180975609756,39.081530081300805,0.30879024390243615,-0.2106682926829322,0.2837170731707275,0.12727967479673907,6908,65,135,1111963,186.01
enhance_mr0.6,eval_frontend_ab_200_adaptive_enhance_mr0p6,51.05461951219512,21.218241463414632,40.49692682926829,37.58992926829268,2.398663414634143,-4.860460975609762,-1.631165853658544,-1.3643211382113876,8136,195,5,4753145,166.35
enhance_mr1.0,eval_frontend_ab_200_adaptive_enhance_mr1p0,51.09900487804878,21.215236585365854,40.4779243902439,37.597388617886175,2.443048780487807,-4.863465853658539,-1.6501682926829346,-1.3568617886178913,8163,200,0,4956220,161.38
