frame_file,points_raw,points_after_range,points_after_ground,retention_ratio,clusters_count,clustered_points,cluster_coverage,noise_ratio,silhouette,davies_bouldin,cluster_compactness_m,objects_count,mean_object_height_m,mean_object_footprint_m2,mean_stability,temporal_voxel_jaccard,temporal_reflectivity_corr,centroid_shift_xy_m,effectiveness_score,frame_index
data/velodyne_points/las\0000000001.las,118702,118212,60920,0.5132179744233458,55,60412,0.991661195009849,0.00833880499015105,-0.027100341394543648,0.6534771606872919,1.207540119642561,55,1.7948363808068362,27.153115263513545,0.5702178150690737,0.1404356301381473,nan,1.5120525360107422,60.03808641477457,0
data/velodyne_points/las\0000000002.las,116650,116133,59713,0.5118988426918131,63,59170,0.9909065027715908,0.009093497228409242,-0.07302062958478928,0.7972768400326273,1.132568430096384,63,1.665714293718338,20.19742071350652,0.4057342923927328,0.13883843717001057,nan,1.4446170330047607,59.086153805938714,1
data/velodyne_points/las\0000000003.las,115650,115139,59013,0.5102723735408561,62,58571,0.9925101248877366,0.0074898751122634,0.12464102357625961,0.6340737178690204,1.1942865320992084,62,1.6817903307176405,16.777537083073007,0.31736632684293553,0.12915499435547936,nan,1.094487190246582,62.324802802585666,2
data/velodyne_points/las\0000000004.las,115150,114642,59459,0.5163612679114199,69,59038,0.9929194907415194,0.007080509258480583,0.16311179101467133,0.6104129031682123,1.1561420632229336,69,1.7239275501258131,12.22174077189487,0.26221210706504827,0.12023106973651401,nan,1.6945332288742065,61.54309334786018,3
data/velodyne_points/las\0000000005.las,114968,114473,61667,0.5363840372973349,73,61312,0.9942432743606792,0.005756725639320837,0.1706455498933792,0.614269472363616,1.1474535568323854,73,1.7711233161900142,11.381576043387799,0.22533030323284983,0.1283916551695305,nan,1.4992835521697998,62.53431754204342,4
data/velodyne_points/las\0000000006.las,114395,113855,63683,0.5566939114471786,73,63438,0.9961528194337579,0.0038471805662421144,0.1557968109846115,0.6239696996183763,1.1492143974524656,73,1.8654383682224849,11.84149325713005,0.1984020829615009,0.13504567166680634,nan,1.3312392234802246,63.24009752533527,5
data/velodyne_points/las\0000000007.las,114873,114323,67165,0.584689178484065,60,66920,0.9963522668056279,0.0036477331943720603,0.18679676949977875,0.670534585320814,1.2836765649418036,60,1.946833336353302,16.461589048430323,0.17773190789473683,0.13887257780387552,nan,0.8886187672615051,65.00381068871364,6
data/velodyne_points/las\0000000008.las,115236,114679,72027,0.6250390502967823,54,71688,0.9952934316298054,0.004706568370194564,0.24556413292884827,0.7241426702514636,1.3038625678530447,54,1.9005740814738803,19.79842278747647,0.16149776247435543,0.14263060900870012,nan,1.1509703397750854,65.59853801730416,7
data/velodyne_points/las\0000000009.las,115047,114448,72241,0.6279259780785245,58,71962,0.9961379272158469,0.00386207278415307,0.20436565577983856,0.6883074427347664,1.2223783823950538,58,1.821362085383514,18.13052158944052,0.14857662493207502,0.1457688566628349,nan,1.170228123664856,65.40625133866293,8
data/velodyne_points/las\0000000010.las,116006,115418,69556,0.5995896763960484,50,69189,0.994723675887055,0.005276324112944986,0.026189478114247322,0.6563876473745553,1.2182445225119591,50,1.73240001142025,26.89707238845527,0.14835782818479287,0.12990557047561294,nan,1.0941330194473267,63.09300397011279,9
data/velodyne_points/las\0000000011.las,118643,117996,67007,0.5647783687196042,55,66656,0.9947617413106093,0.005238258689390651,0.09634653478860855,0.6474388357616386,1.158024493943561,55,1.695490924878554,18.392730337923222,0.1481838283498339,0.1399774579504075,nan,1.3008489608764648,62.82382884614841,10
data/velodyne_points/las\0000000012.las,120122,119441,63973,0.5325668903281664,54,63661,0.9951229424913636,0.004877057508636429,0.12971581518650055,0.6541525527909755,1.1523695626744517,54,1.6880926042795181,17.6061156389338,0.14836875320562853,0.14412609945136287,nan,1.2635482549667358,62.63681614263579,11
data/velodyne_points/las\0000000013.las,120570,119856,61350,0.5088330430455337,54,61028,0.9947514262428688,0.00524857375713117,0.08812811225652695,0.5968058283854986,1.1261439447601636,54,1.620592592491044,17.954905740571796,0.14871596811749957,0.14245051106223314,nan,1.3054320812225342,61.855486768188904,12
data/velodyne_points/las\0000000014.las,120768,119941,59423,0.4920425940646529,56,59104,0.994631708261111,0.005368291738888975,0.0806126520037651,0.6150742103729266,1.1281488481909037,56,1.5698393029826028,15.801711041979226,0.14823278318490127,0.13947198969735994,nan,1.386048436164856,61.15122156620462,13
data/velodyne_points/las\0000000015.las,121068,120202,58750,0.4852644794660852,51,58325,0.9927659574468085,0.007234042553191489,0.057692982256412506,0.6723343046962876,1.1810072514356351,51,1.53519608168041,18.47873876302266,0.147583634845533,0.13692274952117472,nan,1.4185291528701782,60.412049604817284,14
data/velodyne_points/las\0000000016.las,121063,120185,58628,0.4842767815104532,58,58156,0.9919492392713379,0.008050760728662065,-0.1048397496342659,0.8161292223734333,1.146704448965089,58,1.4978965515720433,16.95733192652978,0.1472557829921784,0.1374790619765494,nan,1.5592572689056396,57.91230809105603,15
data/velodyne_points/las\0000000017.las,120941,120073,58154,0.4808460323628877,57,57746,0.9929841455445885,0.00701585445541153,-0.04689523205161095,0.8421193540983729,1.1722039616944497,57,1.4793859652259893,16.443043191704835,0.14767334600295626,0.13550281177638107,nan,1.4302345514297485,58.57695255896702,16
